,transformed values,transformed values,real values,real values
,train_ressiduals,test_ressiduals,train_ressiduals,test_ressiduals
count,1629.0,181.0,1629.0,181.0
mean,6.033626636988288e-13,-9.613644781168695e-08,0.0011258828811190045,0.008509807162563597
std,6.962313963585196e-07,9.751198202411385e-07,0.0018111123537509028,0.009633157765918984
min,-2.801514767725166e-06,-2.250787598967463e-06,-0.0038216104894672753,-0.01726423334912397
25%,-4.4346852234866674e-07,-7.850845378243321e-07,3.457936725226318e-05,0.002001930459300638
50%,1.1701800417540653e-08,-1.167885024244697e-07,0.0005483999821080943,0.006975921649427619
75%,4.414584466871929e-07,5.488585408386371e-07,0.0021407824624475325,0.013312760340340901
max,2.292443973317404e-06,2.4695672209418262e-06,0.010216508566372795,0.03884653616842115
