date,y-1,y-2,window_mean_2,window_std_2,value
1989-01-01,7.47035179026642,6.40876940382333,7.87063395008943,0.5660844591976981,8.27091610991244
1990-01-01,8.27091610991244,7.47035179026642,8.208303988881259,0.08854691073125914,8.14569186785008
1991-01-01,8.14569186785008,8.27091610991244,7.946073991400554,0.2823023081670392,7.74645611495103
1992-01-01,7.74645611495103,8.14569186785008,7.570339823997363,0.2490660472215221,7.3942235330437
1993-01-01,7.3942235330437,7.74645611495103,6.979539761674703,0.5864514135660565,6.56485599030571
1994-01-01,6.56485599030571,7.3942235330437,5.909905752612742,0.9262395088248732,5.2549555149197795
1995-01-01,5.2549555149197795,6.56485599030571,5.038171166364252,0.3065793658374322,4.8213868178087305
1996-01-01,4.8213868178087305,5.2549555149197795,4.638597300261113,0.25850341477546124,4.4558077827135
1997-01-01,4.4558077827135,4.8213868178087305,4.7354238809390985,0.3954368783684845,5.0150399791647
1998-01-01,5.0150399791647,4.4558077827135,4.601682063169173,0.584576370915145,4.188324147173651
1999-01-01,4.188324147173651,5.0150399791647,3.6731940258595235,0.7285040039493292,3.1580639045453998
2000-01-01,3.1580639045453998,4.188324147173651,3.142108320429898,0.022564603451536425,3.1261527363144
2001-01-01,3.1261527363144,3.1580639045453998,3.4616914348908776,0.47452337822786683,3.7972301334673597
2002-01-01,3.7972301334673597,3.1261527363144,4.016194761097813,0.30966274607495314,4.23515938872827
2003-01-01,4.23515938872827,3.7972301334673597,4.621789569286779,0.5467776449685992,5.008419749845291
2004-01-01,5.008419749845291,4.23515938872827,5.745195022506774,1.0419575830190053,6.48197029516826
2005-01-01,6.48197029516826,5.008419749845291,7.543880926849258,1.5017684173514503,8.60579155853026
2006-01-01,8.60579155853026,6.48197029516826,9.685291818869079,1.526643908756446,10.7647920792079
2007-01-01,10.7647920792079,8.60579155853026,12.511376237623749,2.4700430046576907,14.2579603960396
2008-01-01,14.2579603960396,10.7647920792079,16.119819733256747,2.6330667259234697,17.9816790704739
2009-01-01,17.9816790704739,14.2579603960396,14.846510035288297,4.433798569891643,11.7113410001027
2010-01-01,11.7113410001027,17.9816790704739,12.65632829530315,1.3364138491427269,13.6013155905036
2011-01-01,13.6013155905036,11.7113410001027,14.958641378765048,1.919548538318087,16.3159671670265
2012-01-01,16.3159671670265,13.6013155905036,16.947052536084897,0.8924894879376072,17.5781379051433
2013-01-01,17.5781379051433,16.3159671670265,17.9545762714757,0.5323642430648522,18.331014637808103
2014-01-01,18.331014637808103,17.5781379051433,15.840677887690997,3.5218680068917383,13.3503411375739
2015-01-01,13.3503411375739,18.331014637808103,11.226718541521752,3.003255876698886,9.10309594546961
2016-01-01,9.10309594546961,13.3503411375739,9.219347654160012,0.16440474307861114,9.33559936285042
2017-01-01,9.33559936285042,9.10309594546961,10.277317439334109,1.3317904756950918,11.2190355158178
2018-01-01,11.2190355158178,9.33559936285042,12.154610678994898,1.323103084384435,13.090185842172
2019-01-01,13.090185842172,11.2190355158178,14.234146376993397,1.617804503163975,15.3781069118148
