Data,y-1,y-2,y-3,window_mean_2,window_std_2,window_mean_3,window_std_3,value
1993-01-01,9.43370506932727,8.55009359349901,6.59777490369844,9.519134785972536,0.12081586390942406,9.196121055148028,0.5659609945831937,9.604564502617801
1994-01-01,9.604564502617801,9.43370506932727,8.55009359349901,10.342451827143801,1.043530261847866,10.039536241204958,0.905401159878958,11.0803391516698
1995-01-01,11.0803391516698,9.604564502617801,9.43370506932727,12.65480875109265,2.2266362610479264,11.638060668267698,2.3622625830528223,14.2292783505155
1996-01-01,14.2292783505155,11.0803391516698,9.604564502617801,15.124301279779099,1.265753565199472,13.776313903742667,2.5004551469219303,16.0193242090427
1997-01-01,16.0193242090427,14.2292783505155,11.0803391516698,15.9775515931317,0.05907539995699187,15.394793845592966,1.0102300373624413,15.9357789772207
1998-01-01,15.9357789772207,16.0193242090427,14.2292783505155,16.7021790667884,1.0838534008705856,16.474560780873166,0.8618580796966298,17.4685791563561
1999-01-01,17.4685791563561,15.9357789772207,16.0193242090427,17.235839828991,0.3291431132572803,16.80248621173423,0.7858458291999453,17.0031005016259
2000-01-01,17.0031005016259,17.4685791563561,15.9357789772207,17.112523307116298,0.15474721555735985,17.23120859019623,0.23287752064271955,17.221946112606698
2001-01-01,17.221946112606698,17.0031005016259,17.4685791563561,18.156247733261747,1.3213020232775263,17.77186532271646,1.1472441026078455,19.0905493539168
2002-01-01,19.0905493539168,17.221946112606698,17.0031005016259,19.49887761813485,0.577463369157414,18.73990044962546,1.3765431334741793,19.907205882352898
2003-01-01,19.907205882352898,19.0905493539168,17.221946112606698,20.844965981468548,1.326193050421683,20.26016043895129,1.380357407039973,21.782726080584197
2004-01-01,21.782726080584197,19.907205882352898,19.0905493539168,23.6468721172825,2.6363006073427875,22.400316705639288,2.8524974371642973,25.5110181539808
2005-01-01,25.5110181539808,21.782726080584197,19.907205882352898,28.0627258904659,3.6086596881495767,25.96939262050532,4.433660441419642,30.614433626951
2006-01-01,30.614433626951,25.5110181539808,21.782726080584197,32.538316968154554,2.72078191355372,30.19588403009662,4.490245351699245,34.4622003093581
2007-01-01,34.4622003093581,30.614433626951,25.5110181539808,38.68252542293295,5.968441013241331,35.99316149093895,6.285632755769407,42.90285053650779
2008-01-01,42.90285053650779,34.4622003093581,30.614433626951,48.131879360898736,7.394963481493554,43.57531967705185,9.467283184931581,53.3609081852897
2009-01-01,53.3609081852897,42.90285053650779,34.4622003093581,48.66732951330444,6.63772261398667,46.74583652103888,5.753788900202388,43.9737508413192
2010-01-01,43.9737508413192,53.3609081852897,42.90285053650779,45.97858437167609,2.835262768931098,48.43935897621395,4.710158431248287,47.983417902033004
2011-01-01,47.983417902033004,43.9737508413192,53.3609081852897,50.40677240450644,3.4271408038359112,48.262431883444016,4.434775739027799,52.8301269069799
2012-01-01,52.8301269069799,47.983417902033004,43.9737508413192,51.34124186589588,2.105601417915515,50.221967211274915,2.4444029788467683,49.8523568248119
2013-01-01,49.8523568248119,52.8301269069799,47.983417902033004,50.97699154915213,1.5904736798778363,51.594703335094714,1.5522586171993586,52.1016262734924
2014-01-01,52.1016262734924,49.8523568248119,52.8301269069799,53.17466794733424,1.5175100881388506,52.06723090649344,2.1978782568833477,54.2477096211761
2015-01-01,54.2477096211761,52.1016262734924,49.8523568248119,51.014450380292246,4.5725190691261295,51.37684234469228,3.2936224929925824,47.7811911394084
2016-01-01,47.7811911394084,54.2477096211761,52.1016262734924,47.52211378011305,0.3663907152199958,49.763979060467385,3.891657858018221,47.2630364208177
2017-01-01,47.2630364208177,47.7811911394084,54.2477096211761,49.95696207567491,3.809786197123948,49.23170509691939,2.97241122484745,52.650887730532105
2018-01-01,52.650887730532105,47.2630364208177,47.7811911394084,55.696031123343964,4.306483085485432,52.88503288916852,5.742650215745197,58.7411745161558
2019-01-01,58.7411745161558,52.650887730532105,47.2630364208177,59.163497608653515,0.5972550451144486,56.99262764927969,3.783700032506882,59.585820701151206
